,founding_year,founders_count,initial_funding_usd,total_funding_usd,revenue_last_year_usd,employee_count,burn_rate_usd,years_operated,customer_rating,status,industry_ai,industry_e commerce,industry_ecommerce,industry_ed-tech,industry_edtech,industry_energy,industry_fintech,industry_foodtech,industry_health tech,industry_healthtech,industry_realestate,industry_saas,industry_transport,industry_travel,country_Canada,country_Germany,country_India,country_U.S.A,country_Uk,country_Usa,market_competition_Low,market_competition_Medium,profit_ratio,funding_per_employee
0,2011,4.0,300000.0,200000.0,11603968.125,300.0,150000.0,6,3.0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,58.019840625,666.6666666666666
1,2018,3.0,300000.0,1000000.0,5515439.0,300.0,40000.0,7,1.5,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,5.515439,3333.3333333333335
2,2010,1.0,300000.0,1000000.0,4256236.0,50.0,300000.0,8,3.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,4.256236,20000.0
3,2018,4.0,100000.0,1000000.0,0.0,120.0,40000.0,15,3.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,8333.333333333334
4,2015,5.0,50000.0,1000000.0,11603968.125,25.0,150000.0,6,3.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,11.603968125,40000.0
5,2016,5.0,300000.0,200000.0,0.0,5.0,150000.0,15,3.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,40000.0
6,2017,3.0,300000.0,1000000.0,534934.0,10.0,90000.0,8,3.8,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.534934,100000.0
7,2017,2.0,50000.0,5000000.0,534934.0,50.0,300000.0,1,1.5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.1069868,100000.0
8,2011,4.0,50000.0,1000000.0,11603968.125,300.0,40000.0,5,3.8,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,11.603968125,3333.3333333333335
9,2015,1.0,300000.0,1000000.0,534934.0,5.0,90000.0,11,2.3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0.534934,200000.0
10,2018,3.0,100000.0,5000000.0,534934.0,120.0,90000.0,6,4.5,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.1069868,41666.666666666664
11,2016,1.0,300000.0,1000000.0,0.0,3.0,150000.0,14,3.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,333333.3333333333
12,2012,5.0,300000.0,1000000.0,0.0,10.0,150000.0,2,4.5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.0,100000.0
13,2014,5.0,100000.0,1000000.0,534934.0,50.0,300000.0,9,1.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.534934,20000.0
14,2013,3.0,1500000.0,1000000.0,0.0,120.0,40000.0,9,4.5,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,8333.333333333334
15,2017,3.0,800000.0,200000.0,0.0,25.0,150000.0,15,2.3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,8000.0
16,2015,3.0,1500000.0,200000.0,11603968.125,120.0,300000.0,11,3.8,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,58.019840625,1666.6666666666667
17,2015,2.0,100000.0,12000000.0,11603968.125,300.0,300000.0,5,2.3,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.96699734375,40000.0
18,2014,1.0,300000.0,1000000.0,0.0,120.0,40000.0,1,4.5,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,8333.333333333334
19,2019,3.0,300000.0,1000000.0,534934.0,50.0,300000.0,10,3.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.534934,20000.0
20,2015,1.0,100000.0,200000.0,534934.0,25.0,90000.0,9,1.5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.67467,8000.0
21,2023,3.0,100000.0,1000000.0,11603968.125,25.0,150000.0,13,3.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,11.603968125,40000.0
22,2013,3.0,50000.0,5000000.0,9586115.0,300.0,150000.0,1,4.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.917223,16666.666666666668
23,2010,3.0,1500000.0,1000000.0,0.0,25.0,150000.0,14,3.8,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,40000.0
24,2017,5.0,1500000.0,1000000.0,9391731.0,5.0,300000.0,13,3.8,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,9.391731,200000.0
25,2018,3.0,100000.0,12000000.0,4535101.0,25.0,90000.0,4,2.3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.37792508333333336,480000.0
26,2016,3.0,300000.0,1000000.0,1024951.0,25.0,300000.0,15,2.3,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1.024951,40000.0
27,2013,5.0,50000.0,5000000.0,11603968.125,25.0,90000.0,4,4.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.320793625,200000.0
28,2011,4.0,50000.0,5000000.0,534934.0,5.0,90000.0,8,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.1069868,1000000.0
29,2018,3.0,300000.0,5000000.0,534934.0,3.0,40000.0,14,1.5,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1069868,1666666.6666666667
30,2022,3.0,100000.0,12000000.0,534934.0,10.0,300000.0,14,1.5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,0.04457783333333333,1200000.0
31,2011,2.0,100000.0,12000000.0,11603968.125,300.0,40000.0,3,1.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.96699734375,40000.0
32,2020,1.0,300000.0,12000000.0,11603968.125,25.0,90000.0,6,3.0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.96699734375,480000.0
33,2015,3.0,800000.0,5000000.0,11603968.125,3.0,40000.0,2,1.5,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2.320793625,1666666.6666666667
34,2018,1.0,1500000.0,1000000.0,534934.0,120.0,150000.0,14,3.8,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.534934,8333.333333333334
35,2015,3.0,50000.0,5000000.0,11603968.125,50.0,40000.0,12,2.3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.320793625,100000.0
36,2021,5.0,300000.0,1000000.0,534934.0,5.0,90000.0,12,3.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.534934,200000.0
37,2016,1.0,300000.0,200000.0,0.0,10.0,90000.0,3,1.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0,20000.0
38,2011,1.0,300000.0,200000.0,534934.0,10.0,150000.0,2,4.5,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2.67467,20000.0
39,2015,3.0,300000.0,5000000.0,11603968.125,3.0,40000.0,10,1.5,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2.320793625,1666666.6666666667
40,2023,2.0,800000.0,200000.0,11603968.125,25.0,40000.0,3,1.5,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,58.019840625,8000.0
41,2012,4.0,300000.0,200000.0,11603968.125,5.0,150000.0,5,4.5,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,58.019840625,40000.0
42,2014,5.0,1500000.0,5000000.0,0.0,10.0,150000.0,15,2.3,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.0,500000.0
43,2016,1.0,100000.0,1000000.0,11603968.125,25.0,40000.0,10,2.3,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,11.603968125,40000.0
44,2011,2.0,50000.0,12000000.0,0.0,50.0,40000.0,11,1.5,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0.0,240000.0
45,2023,4.0,300000.0,12000000.0,534934.0,120.0,90000.0,7,3.0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.04457783333333333,100000.0
46,2012,3.0,300000.0,1000000.0,0.0,50.0,150000.0,7,3.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.0,20000.0
47,2018,5.0,300000.0,1000000.0,3094396.0,10.0,150000.0,11,4.5,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,3.094396,100000.0
48,2010,3.0,300000.0,12000000.0,0.0,50.0,150000.0,10,3.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,240000.0
49,2015,1.0,1500000.0,200000.0,534934.0,300.0,90000.0,11,4.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2.67467,666.6666666666666
50,2018,3.0,300000.0,200000.0,534934.0,25.0,150000.0,6,3.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,2.67467,8000.0
51,2015,3.0,800000.0,1000000.0,7914619.0,3.0,150000.0,6,1.5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,7.914619,333333.3333333333
52,2021,2.0,1500000.0,1000000.0,0.0,10.0,300000.0,11,1.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,100000.0
53,2020,5.0,300000.0,12000000.0,7563150.0,300.0,300000.0,6,1.5,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.6302625,40000.0
54,2017,4.0,50000.0,200000.0,0.0,120.0,150000.0,13,2.3,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0,1666.6666666666667
55,2020,2.0,50000.0,1000000.0,0.0,25.0,90000.0,7,3.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0.0,40000.0
56,2015,5.0,300000.0,200000.0,11603968.125,3.0,40000.0,3,4.5,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,58.019840625,66666.66666666667
57,2016,3.0,800000.0,200000.0,11603968.125,10.0,150000.0,6,3.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,58.019840625,20000.0
58,2016,1.0,300000.0,1000000.0,11603968.125,25.0,150000.0,12,1.5,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,11.603968125,40000.0
59,2023,1.0,800000.0,12000000.0,534934.0,25.0,40000.0,1,1.5,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.04457783333333333,480000.0
60,2023,3.0,300000.0,5000000.0,11603968.125,120.0,150000.0,2,1.5,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,2.320793625,41666.666666666664
61,2023,2.0,300000.0,5000000.0,534934.0,10.0,150000.0,8,3.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,0.1069868,500000.0
62,2023,2.0,100000.0,5000000.0,0.0,25.0,150000.0,14,3.0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,200000.0
63,2022,3.0,800000.0,12000000.0,534934.0,300.0,150000.0,11,3.8,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04457783333333333,40000.0
64,2019,5.0,1500000.0,1000000.0,4359159.0,3.0,90000.0,13,4.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,4.359159,333333.3333333333
65,2022,3.0,100000.0,1000000.0,0.0,300.0,40000.0,7,4.5,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.0,3333.3333333333335
66,2012,3.0,300000.0,1000000.0,4326902.0,50.0,300000.0,3,3.8,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,4.326902,20000.0
67,2014,2.0,1500000.0,1000000.0,534934.0,25.0,150000.0,1,2.3,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.534934,40000.0
