startup_id,startup_name,industry,country,founding_year,founders_count,initial_funding_usd,total_funding_usd,revenue_last_year_usd,employee_count,burn_rate_usd,market_competition,years_operated,customer_rating,reason_for_failure,status
S00001,Startup_1,Fintech,Canada,2011,4.0,300000.0,200000.0,28155509.0,300.0,,low,6,3.0,Cash flow issues,Success
S00002,Startup_2,EdTech,india,2018,3.0,,1000000.0,5515439.0,300.0,40000.0,low,7,1.5,Cash flow issues,Failed
S00003,Startup_3,AI,USA,2010,1.0,,1000000.0,4256236.0,50.0,300000.0,low,8,3.0,Bad marketing,Success
S00004,Startup_4,Agritech,india,2018,4.0,100000.0,,-100000.0,120.0,40000.0,high,15,,,Failed
S00005,Startup_5,SaaS,U.S.A,2015,5.0,50000.0,1000000.0,24374740.0,,150000.0,Medium,6,3.0,,Failed
S00006,Startup_6,Health Tech,Australia,2016,5.0,300000.0,200000.0,-100000.0,5.0,150000.0,High,15,3.0,Lack of market demand,Failed
S00007,Startup_7,Fintech,Canada,2017,,,1000000.0,,10.0,90000.0,low,8,3.8,Bad marketing,Success
S00008,Startup_8,FinTech,UK,2017,2.0,50000.0,5000000.0,,50.0,300000.0,high,1,1.5,,Success
S00009,Startup_9,Energy,USA,2011,4.0,50000.0,,12685416.0,300.0,40000.0,Low,5,3.8,Cash flow issues,failed
S00010,Startup_10,Travel,U.S.A,2015,1.0,,1000000.0,,5.0,90000.0,Low,11,2.3,Strong competition,failed
S00011,Startup_11,Fintech,U.S.A,2018,3.0,100000.0,5000000.0,,120.0,90000.0,low,6,4.5,Strong competition,failed
S00012,Startup_12,Ed-tech,U.S.A,2016,1.0,,1000000.0,-100000.0,3.0,150000.0,high,14,,Bad marketing,Failed
S00013,Startup_13,Transport,India,2012,5.0,300000.0,,-100000.0,10.0,150000.0,low,2,4.5,High burn rate,Success
S00014,Startup_14,Travel,USA,2014,5.0,100000.0,1000000.0,,50.0,300000.0,High,9,1.5,Lack of market demand,failed
S00015,Startup_15,Ecommerce,India,2013,3.0,1500000.0,1000000.0,-100000.0,120.0,40000.0,Low,9,4.5,Founder conflict,failed
S00016,Startup_16,EdTech,Australia,2017,,800000.0,200000.0,-100000.0,,150000.0,high,15,2.3,,Success
S00017,Startup_17,FinTech,Australia,2015,,1500000.0,200000.0,23215160.0,120.0,300000.0,Low,11,3.8,High burn rate,Failed
S00018,Startup_18,Ecommerce,Australia,2015,2.0,100000.0,12000000.0,27067835.0,300.0,300000.0,low,5,2.3,,Failed
S00019,Startup_19,Energy,USA,2014,1.0,300000.0,,-100000.0,120.0,40000.0,high,1,4.5,Regulatory issues,Failed
S00020,Startup_20,HealthTech,Australia,2019,,300000.0,1000000.0,,50.0,300000.0,low,10,3.0,Lack of market demand,failed
S00021,Startup_21,AI,Canada,2015,1.0,100000.0,200000.0,,,90000.0,high,9,1.5,Bad marketing,failed
S00022,Startup_22,EdTech,india,2023,3.0,100000.0,,29008983.0,,,low,13,3.0,,Success
S00023,Startup_23,Travel,U.S.A,2013,,50000.0,5000000.0,9586115.0,300.0,150000.0,high,1,4.5,Cash flow issues,Failed
S00024,Startup_24,Ed-tech,Germany,2010,3.0,1500000.0,1000000.0,-100000.0,25.0,150000.0,high,14,3.8,Lack of market demand,Failed
S00025,Startup_25,Health Tech,USA,2017,5.0,1500000.0,,9391731.0,5.0,300000.0,high,13,3.8,Strong competition,Success
S00026,Startup_26,Transport,U.S.A,2018,3.0,100000.0,12000000.0,4535101.0,25.0,90000.0,High,4,2.3,Strong competition,Failed
S00027,Startup_27,FinTech,India,2016,,300000.0,,1024951.0,25.0,300000.0,Low,15,2.3,Poor financial planning,Success
S00028,Startup_28,Agritech,india,2013,5.0,50000.0,5000000.0,26396363.0,,90000.0,high,4,4.5,Regulatory issues,Failed
S00029,Startup_29,Ecommerce,U.S.A,2011,4.0,50000.0,5000000.0,,5.0,90000.0,High,8,3.0,,failed
S00030,Startup_30,FinTech,Australia,2018,3.0,300000.0,5000000.0,,3.0,40000.0,low,14,1.5,,failed
S00031,Startup_31,Travel,USA,2022,,100000.0,12000000.0,,10.0,300000.0,Medium,14,1.5,Founder conflict,Success
S00032,Startup_32,Travel,India,2011,2.0,100000.0,12000000.0,14455296.0,300.0,40000.0,High,3,1.5,Bad marketing,failed
S00033,Startup_33,Health Tech,UK,2020,1.0,300000.0,12000000.0,27266816.0,25.0,90000.0,high,6,,Founder conflict,Success
S00034,Startup_34,FinTech,Canada,2015,,800000.0,5000000.0,26423725.0,3.0,40000.0,low,2,1.5,Lack of market demand,Failed
S00035,Startup_35,E commerce,UK,2018,1.0,1500000.0,,,120.0,150000.0,Medium,14,3.8,Cash flow issues,failed
S00036,Startup_36,Agritech,india,2015,,50000.0,5000000.0,17010704.0,50.0,40000.0,high,12,2.3,,Failed
S00037,Startup_37,AI,USA,2021,5.0,,,,5.0,90000.0,Medium,12,3.0,Regulatory issues,Failed
S00038,Startup_38,Agritech,UK,2016,1.0,300000.0,200000.0,-100000.0,10.0,90000.0,Low,3,1.5,Founder conflict,failed
S00039,Startup_39,HealthTech,Canada,2011,1.0,300000.0,200000.0,,10.0,150000.0,high,2,4.5,Poor financial planning,failed
S00040,Startup_40,HealthTech,USA,2015,3.0,,5000000.0,14767434.0,3.0,40000.0,High,10,1.5,Bad marketing,Failed
S00041,Startup_41,Energy,UK,2023,2.0,800000.0,200000.0,13957151.0,25.0,40000.0,high,3,1.5,Founder conflict,failed
S00042,Startup_42,FoodTech,U.S.A,2012,4.0,300000.0,200000.0,29336748.0,5.0,,high,5,4.5,Cash flow issues,failed
S00043,Startup_43,Ecommerce,Canada,2014,5.0,1500000.0,5000000.0,-100000.0,10.0,150000.0,Low,15,2.3,Regulatory issues,Success
S00044,Startup_44,SaaS,India,2016,1.0,100000.0,1000000.0,22369707.0,25.0,40000.0,high,10,2.3,Regulatory issues,failed
S00045,Startup_45,Transport,india,2011,2.0,50000.0,12000000.0,-100000.0,50.0,40000.0,Medium,11,1.5,Founder conflict,failed
